epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.163,1.39308,2.48932,1.23607,0.60162,0.6605,0.59627,0.35244,1.39037,1.62635,1.17981,0.000413194,0.000413194,0.000413194
2,238.215,1.38291,1.59337,1.26328,0.598,0.73789,0.68187,0.41402,1.41792,1.4796,1.24855,0.000819592,0.000819592,0.000819592
3,340.772,1.4161,1.49955,1.28213,0.62775,0.84538,0.69962,0.42106,1.42249,1.55642,1.22436,0.00121568,0.00121568,0.00121568
4,463.545,1.42568,1.35947,1.25935,0.63038,0.89738,0.75823,0.44956,1.41918,1.29681,1.17707,0.00120359,0.00120359,0.00120359
5,710.116,1.39227,1.32954,1.25924,0.63676,0.86651,0.7349,0.46253,1.36364,1.32783,1.19983,0.00118812,0.00118812,0.00118812
6,937.932,1.35789,1.27429,1.23999,0.6742,0.82663,0.76304,0.47568,1.4147,1.27687,1.23448,0.00117266,0.00117266,0.00117266
7,1158.34,1.38549,1.20206,1.24762,0.71143,0.83904,0.77284,0.48131,1.39046,1.10408,1.19577,0.00115719,0.00115719,0.00115719
8,1323.77,1.39976,1.16674,1.26785,0.67864,0.87997,0.76893,0.49182,1.36542,1.11782,1.18709,0.00114172,0.00114172,0.00114172
9,1433.65,1.34358,1.12308,1.23095,0.66354,0.93264,0.81156,0.5323,1.34243,1.05797,1.18886,0.00112625,0.00112625,0.00112625
10,1544.16,1.34816,1.11137,1.23606,0.69533,0.86691,0.76849,0.4916,1.35218,0.99889,1.17952,0.00111078,0.00111078,0.00111078
11,1765.44,1.33351,1.07315,1.23817,0.65303,0.84715,0.75062,0.48064,1.32989,1.00175,1.18561,0.00109531,0.00109531,0.00109531
12,1905.61,1.31337,1.03763,1.22813,0.6594,0.84552,0.77839,0.49438,1.3504,0.96956,1.19722,0.00107984,0.00107984,0.00107984
13,2009.14,1.28776,1.00704,1.21804,0.67388,0.86011,0.8056,0.51456,1.36829,0.9632,1.1967,0.00106437,0.00106437,0.00106437
14,2176.16,1.31278,1.00324,1.21887,0.69814,0.86187,0.76727,0.49206,1.33363,0.96885,1.17923,0.00104891,0.00104891,0.00104891
15,2385.49,1.31538,0.98039,1.22057,0.72973,0.87856,0.84234,0.54121,1.34365,0.9438,1.18826,0.00103344,0.00103344,0.00103344
16,2654.56,1.30527,0.95314,1.22174,0.76257,0.88481,0.8486,0.53524,1.36179,0.88763,1.17555,0.00101797,0.00101797,0.00101797
17,2931.07,1.27519,0.96338,1.20535,0.74817,0.82003,0.79933,0.50685,1.34742,0.91901,1.17747,0.0010025,0.0010025,0.0010025
18,3207.97,1.25209,0.91556,1.20549,0.84789,0.79363,0.87325,0.5618,1.34792,0.85274,1.18179,0.000987031,0.000987031,0.000987031
19,3446.19,1.24501,0.9155,1.1952,0.87831,0.74506,0.86504,0.55915,1.34861,0.89651,1.19988,0.000971562,0.000971562,0.000971562
20,3710.09,1.27372,0.89935,1.20843,0.80623,0.89634,0.89245,0.58699,1.33223,0.86189,1.19592,0.000956094,0.000956094,0.000956094
21,3945.55,1.26291,0.90381,1.19225,0.7269,0.83255,0.77586,0.49333,1.37371,0.86677,1.18857,0.000940625,0.000940625,0.000940625
22,4229.73,1.23017,0.88164,1.19454,0.75937,0.87729,0.83713,0.54862,1.30957,0.8014,1.17901,0.000925156,0.000925156,0.000925156
23,4393.62,1.25515,0.87293,1.20738,0.73979,0.91409,0.83858,0.53975,1.31237,0.82849,1.17636,0.000909688,0.000909688,0.000909688
24,4500.22,1.23174,0.83423,1.1948,0.77912,0.87358,0.86953,0.57455,1.31535,0.78471,1.1704,0.000894219,0.000894219,0.000894219
25,4613.56,1.24969,0.83934,1.18808,0.81865,0.80476,0.845,0.55323,1.33946,0.8449,1.17825,0.00087875,0.00087875,0.00087875
26,4726.94,1.21631,0.82042,1.17653,0.90166,0.84945,0.90743,0.61138,1.3034,0.79515,1.1635,0.000863281,0.000863281,0.000863281
27,4837.96,1.23182,0.8081,1.17776,0.82585,0.84519,0.84808,0.56267,1.28477,0.81195,1.15133,0.000847813,0.000847813,0.000847813
28,4957.97,1.19661,0.80275,1.15644,0.76392,0.92579,0.91671,0.587,1.31407,0.79004,1.17925,0.000832344,0.000832344,0.000832344
29,5068.62,1.24066,0.78291,1.18587,0.87225,0.89322,0.9309,0.6001,1.34739,0.75535,1.18746,0.000816875,0.000816875,0.000816875
30,5179.84,1.20934,0.77584,1.17193,0.82269,0.85863,0.89005,0.59016,1.31864,0.765,1.17587,0.000801406,0.000801406,0.000801406
31,5295.35,1.18098,0.75414,1.17753,0.82803,0.85356,0.87389,0.58393,1.30305,0.7603,1.17748,0.000785938,0.000785938,0.000785938
32,5408.81,1.17794,0.76675,1.15523,0.80255,0.88138,0.89011,0.60465,1.28371,0.74541,1.1609,0.000770469,0.000770469,0.000770469
33,5517.24,1.18031,0.74682,1.15279,0.81065,0.87563,0.86925,0.55654,1.32502,0.76442,1.18895,0.000755,0.000755,0.000755
34,5632.27,1.18448,0.73891,1.16161,0.87528,0.84173,0.89816,0.61117,1.31798,0.74138,1.18549,0.000739531,0.000739531,0.000739531
35,5750.79,1.17992,0.73361,1.15902,0.87992,0.82256,0.87732,0.57628,1.31871,0.75282,1.16959,0.000724062,0.000724062,0.000724062
36,5861.64,1.165,0.73013,1.15224,0.88953,0.85788,0.91312,0.61795,1.2982,0.71305,1.1647,0.000708594,0.000708594,0.000708594
37,5974,1.14725,0.69883,1.1439,0.8742,0.86097,0.91242,0.61412,1.31554,0.72906,1.17412,0.000693125,0.000693125,0.000693125
38,6089.49,1.16386,0.70005,1.14535,0.83308,0.82795,0.88229,0.57472,1.32353,0.74438,1.18421,0.000677656,0.000677656,0.000677656
39,6205.99,1.1596,0.71557,1.14243,0.90069,0.82037,0.9088,0.61102,1.28913,0.69998,1.1755,0.000662188,0.000662188,0.000662188
40,6315.5,1.16562,0.70358,1.16321,0.88723,0.84069,0.89899,0.59144,1.32309,0.72056,1.1812,0.000646719,0.000646719,0.000646719
41,6424.75,1.13173,0.69008,1.1353,0.91425,0.86808,0.93405,0.62945,1.28493,0.68481,1.17494,0.00063125,0.00063125,0.00063125
42,6536.95,1.15203,0.68155,1.14641,0.86452,0.85464,0.89083,0.58714,1.31023,0.72629,1.19078,0.000615781,0.000615781,0.000615781
43,6652.93,1.13055,0.67084,1.13457,0.89351,0.83601,0.90154,0.584,1.30526,0.70296,1.16762,0.000600313,0.000600313,0.000600313
44,6764.76,1.12573,0.68151,1.13825,0.88577,0.85762,0.89839,0.59631,1.336,0.70123,1.18981,0.000584844,0.000584844,0.000584844
45,6878.7,1.10768,0.66768,1.12861,0.90738,0.86812,0.93061,0.62924,1.32262,0.66918,1.18021,0.000569375,0.000569375,0.000569375
46,6993.47,1.10521,0.66901,1.12052,0.8337,0.88336,0.9107,0.59391,1.31238,0.6862,1.16831,0.000553906,0.000553906,0.000553906
47,7109.73,1.10579,0.67093,1.12336,0.87578,0.85876,0.90378,0.60234,1.33316,0.68051,1.18427,0.000538438,0.000538438,0.000538438
48,7216.1,1.10536,0.64684,1.12465,0.85261,0.89604,0.91774,0.61537,1.32498,0.67112,1.18956,0.000522969,0.000522969,0.000522969
49,7327.87,1.08666,0.64016,1.11692,0.88388,0.8644,0.91161,0.60481,1.3252,0.68738,1.19297,0.0005075,0.0005075,0.0005075
50,7448.38,1.08452,0.64122,1.13234,0.91982,0.83826,0.91077,0.60921,1.30338,0.68011,1.18015,0.000492031,0.000492031,0.000492031
51,7559.59,1.09015,0.63596,1.12613,0.93492,0.86282,0.91669,0.6194,1.29853,0.66956,1.17658,0.000476562,0.000476562,0.000476562
52,7668.08,1.07237,0.64282,1.12255,0.90244,0.89762,0.92989,0.62918,1.30522,0.65249,1.18469,0.000461094,0.000461094,0.000461094
53,7788.26,1.06917,0.61832,1.12168,0.90134,0.89724,0.92982,0.61517,1.32827,0.67506,1.19762,0.000445625,0.000445625,0.000445625
54,7898.74,1.07023,0.6226,1.10381,0.91666,0.82858,0.92454,0.62667,1.31704,0.65119,1.18568,0.000430156,0.000430156,0.000430156
55,8011.1,1.08416,0.61367,1.11753,0.86701,0.87491,0.91074,0.60734,1.31738,0.66399,1.19053,0.000414688,0.000414688,0.000414688
56,8138.46,1.04841,0.59692,1.0955,0.88028,0.84112,0.90781,0.60474,1.31657,0.65922,1.18595,0.000399219,0.000399219,0.000399219
57,8267.08,1.03895,0.59844,1.10142,0.92656,0.88769,0.92595,0.61031,1.32752,0.65136,1.19914,0.00038375,0.00038375,0.00038375
58,8384.84,1.04849,0.59856,1.10037,0.89015,0.89515,0.92177,0.62949,1.31489,0.6621,1.19271,0.000368281,0.000368281,0.000368281
59,8502.14,1.03034,0.57253,1.08715,0.87498,0.90183,0.92307,0.62092,1.32125,0.64817,1.1863,0.000352812,0.000352812,0.000352812
60,8617.66,1.03288,0.59089,1.09308,0.92122,0.84748,0.92032,0.6154,1.32389,0.64904,1.18414,0.000337344,0.000337344,0.000337344
