epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.608,1.0736,0.58752,1.10949,0.90027,0.90435,0.94025,0.61993,1.41191,0.6536,1.25038,0.000409722,0.000409722,0.000409722
2,556.102,1.06462,0.60955,1.10839,0.91105,0.8772,0.93239,0.59326,1.40625,0.68424,1.23278,0.000799118,0.000799118,0.000799118
3,702.917,1.11627,0.62693,1.13564,0.9142,0.89319,0.93874,0.60455,1.42218,0.70225,1.21753,0.00116101,0.00116101,0.00116101
4,858.198,1.11319,0.65112,1.1274,0.85288,0.87048,0.91303,0.58902,1.43156,0.73675,1.24191,0.00112625,0.00112625,0.00112625
5,986.429,1.10968,0.6602,1.1435,0.87307,0.90482,0.92289,0.58051,1.44687,0.72597,1.27373,0.001085,0.001085,0.001085
6,1110.05,1.11035,0.65643,1.12899,0.85325,0.86524,0.90269,0.55664,1.43138,0.74127,1.23705,0.00104375,0.00104375,0.00104375
7,1252.37,1.10737,0.63967,1.13205,0.89358,0.89362,0.93534,0.58433,1.51117,0.72881,1.27413,0.0010025,0.0010025,0.0010025
8,1387.55,1.10919,0.62539,1.13998,0.94442,0.88296,0.93951,0.59962,1.44046,0.70271,1.26251,0.00096125,0.00096125,0.00096125
9,1522.44,1.09343,0.61677,1.11687,0.92557,0.9146,0.95671,0.58538,1.47858,0.68273,1.26606,0.00092,0.00092,0.00092
10,1659.12,1.07489,0.61691,1.1223,0.91029,0.92037,0.94422,0.62435,1.39081,0.65368,1.22361,0.00087875,0.00087875,0.00087875
11,1792.42,1.05823,0.59432,1.11245,0.93023,0.92123,0.95014,0.61339,1.40271,0.64959,1.23876,0.0008375,0.0008375,0.0008375
12,1935.22,1.0375,0.59217,1.09645,0.91691,0.94082,0.95962,0.63694,1.42295,0.65135,1.24854,0.00079625,0.00079625,0.00079625
13,2066.71,1.05939,0.5856,1.11185,0.92926,0.91273,0.95145,0.62801,1.42949,0.65242,1.27022,0.000755,0.000755,0.000755
14,2200.14,1.01238,0.57536,1.09427,0.93471,0.91968,0.95097,0.61439,1.38703,0.64151,1.23727,0.00071375,0.00071375,0.00071375
15,2339.47,1.04075,0.56144,1.09737,0.91222,0.90174,0.95955,0.62166,1.42135,0.64204,1.24476,0.0006725,0.0006725,0.0006725
16,2467.14,1.01331,0.55336,1.08881,0.93737,0.90651,0.9521,0.62498,1.3862,0.63628,1.24461,0.00063125,0.00063125,0.00063125
17,2606.42,1.02193,0.56716,1.10258,0.93498,0.89356,0.95036,0.61555,1.38833,0.6372,1.24265,0.00059,0.00059,0.00059
18,2753.29,0.99222,0.55279,1.07339,0.92716,0.90866,0.9498,0.63253,1.36818,0.61342,1.21803,0.00054875,0.00054875,0.00054875
19,2897.94,0.98874,0.54077,1.06981,0.94321,0.90349,0.94913,0.59258,1.48397,0.64049,1.28763,0.0005075,0.0005075,0.0005075
20,3042.98,0.97942,0.53284,1.06926,0.93215,0.91438,0.94979,0.6156,1.46901,0.63215,1.272,0.00046625,0.00046625,0.00046625
21,3173.18,0.93673,0.49486,1.04768,0.93905,0.91485,0.95838,0.62406,1.38641,0.62207,1.24369,0.000425,0.000425,0.000425
22,3311.69,0.90811,0.47575,1.02785,0.95606,0.90618,0.95907,0.64491,1.3305,0.6233,1.20977,0.00038375,0.00038375,0.00038375
23,3451.05,0.90697,0.4551,1.03141,0.94149,0.91464,0.96271,0.64068,1.38324,0.62156,1.24702,0.0003425,0.0003425,0.0003425
24,3588.75,0.88009,0.45669,1.02522,0.92616,0.92584,0.95763,0.64285,1.33806,0.61288,1.23295,0.00030125,0.00030125,0.00030125
25,3708.61,0.89248,0.44583,1.0188,0.9256,0.91937,0.9607,0.65237,1.38727,0.6143,1.25218,0.00026,0.00026,0.00026
26,3833.57,0.85336,0.43859,1.00326,0.93287,0.91607,0.95561,0.63933,1.34273,0.60834,1.2316,0.00021875,0.00021875,0.00021875
27,3959.2,0.83784,0.42428,0.99349,0.96357,0.89207,0.95626,0.64629,1.34374,0.61516,1.23167,0.0001775,0.0001775,0.0001775
28,4102.79,0.83935,0.43461,1.0004,0.91718,0.92937,0.95788,0.63481,1.35685,0.60541,1.23908,0.00013625,0.00013625,0.00013625
29,4242.33,0.83326,0.42368,1.00065,0.93571,0.92171,0.96036,0.64898,1.34595,0.60511,1.23827,9.5e-05,9.5e-05,9.5e-05
30,4365.98,0.80423,0.4063,0.98023,0.93781,0.9152,0.96076,0.65032,1.34562,0.60095,1.23946,5.375e-05,5.375e-05,5.375e-05
