epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.506,1.23984,0.69491,1.20924,0.93528,0.92346,0.95202,0.57768,1.46999,0.67757,1.26644,0.000412186,0.000412186,0.000412186
2,352.423,1.22917,0.69982,1.19689,0.93348,0.91672,0.95439,0.61808,1.40083,0.64041,1.22428,0.000808339,0.000808339,0.000808339
3,523.997,1.27424,0.75534,1.21003,0.9058,0.95472,0.96645,0.61239,1.45645,0.70016,1.23659,0.00118387,0.00118387,0.00118387
4,696.15,1.2743,0.76022,1.24039,0.9308,0.92096,0.97052,0.63768,1.33643,0.69807,1.21353,0.00115719,0.00115719,0.00115719
5,874.075,1.25263,0.7569,1.21914,0.9344,0.93977,0.97373,0.62227,1.35308,0.66633,1.18855,0.00112625,0.00112625,0.00112625
6,1048.35,1.25355,0.75816,1.20246,0.87002,0.94618,0.95876,0.57799,1.48283,0.73373,1.24207,0.00109531,0.00109531,0.00109531
7,1218.11,1.23105,0.73833,1.20491,0.93902,0.924,0.95609,0.62306,1.30517,0.62777,1.16513,0.00106437,0.00106437,0.00106437
8,1388.23,1.21702,0.71769,1.18485,0.9427,0.93455,0.96706,0.63491,1.4254,0.63849,1.20373,0.00103344,0.00103344,0.00103344
9,1560.03,1.21549,0.70397,1.18647,0.93911,0.94673,0.97043,0.64463,1.39901,0.64839,1.21064,0.0010025,0.0010025,0.0010025
10,1732.55,1.1856,0.67701,1.17878,0.94143,0.93958,0.96715,0.63215,1.30617,0.61566,1.17232,0.000971562,0.000971562,0.000971562
11,1910.03,1.20422,0.68178,1.18242,0.9674,0.94699,0.98579,0.66846,1.25692,0.56937,1.13102,0.000940625,0.000940625,0.000940625
12,2082.02,1.16998,0.66225,1.17938,0.95367,0.95376,0.97338,0.67218,1.2187,0.5825,1.12598,0.000909688,0.000909688,0.000909688
13,2253.27,1.14434,0.6329,1.14697,0.93697,0.93767,0.96745,0.70045,1.17248,0.57555,1.10234,0.00087875,0.00087875,0.00087875
14,2422.63,1.17169,0.64485,1.16441,0.94343,0.94346,0.97717,0.68207,1.2007,0.57169,1.11884,0.000847813,0.000847813,0.000847813
15,2592.35,1.15601,0.63941,1.15365,0.96295,0.95901,0.97794,0.7068,1.11424,0.54658,1.07752,0.000816875,0.000816875,0.000816875
16,2769.42,1.14417,0.61762,1.14189,0.95535,0.95514,0.98401,0.66929,1.21316,0.56131,1.12099,0.000785938,0.000785938,0.000785938
17,2940.63,1.09165,0.60211,1.13083,0.96146,0.95401,0.97769,0.71546,1.15025,0.54672,1.08299,0.000755,0.000755,0.000755
18,3110.33,1.11809,0.62772,1.14402,0.96918,0.96658,0.97566,0.70285,1.12232,0.53228,1.07347,0.000724062,0.000724062,0.000724062
19,3279.39,1.10778,0.61227,1.12693,0.96394,0.95277,0.98513,0.72776,1.13846,0.51584,1.06829,0.000693125,0.000693125,0.000693125
20,3452.7,1.10592,0.60367,1.12611,0.96408,0.96746,0.9822,0.73072,1.06119,0.52163,1.04941,0.000662188,0.000662188,0.000662188
21,3654.3,1.06822,0.58348,1.11391,0.94441,0.96735,0.98265,0.73751,1.0755,0.50399,1.0509,0.00063125,0.00063125,0.00063125
22,3837.73,1.05827,0.57216,1.10684,0.95802,0.96703,0.97714,0.72511,1.07816,0.49694,1.04703,0.000600313,0.000600313,0.000600313
23,4020.34,1.07405,0.57412,1.11811,0.97058,0.96849,0.98359,0.74028,1.02386,0.48629,1.03492,0.000569375,0.000569375,0.000569375
24,4195.8,1.06144,0.57058,1.10973,0.96965,0.96464,0.98756,0.74215,1.01595,0.48498,1.03259,0.000538438,0.000538438,0.000538438
25,4432.43,1.05844,0.5645,1.10444,0.96983,0.95434,0.98555,0.71364,1.0999,0.50029,1.05073,0.0005075,0.0005075,0.0005075
26,4647.99,1.05245,0.55032,1.09773,0.96165,0.97236,0.98838,0.72894,1.04678,0.47941,1.03766,0.000476562,0.000476562,0.000476562
27,4844.96,1.01938,0.54995,1.09493,0.96334,0.97191,0.98719,0.73046,1.12627,0.46766,1.05967,0.000445625,0.000445625,0.000445625
28,5053.51,1.04214,0.55272,1.08586,0.96954,0.97118,0.99018,0.76256,1.00002,0.45259,1.01701,0.000414688,0.000414688,0.000414688
29,5267.57,1.02855,0.5353,1.08843,0.97457,0.97144,0.99163,0.75887,0.98386,0.4493,1.01188,0.00038375,0.00038375,0.00038375
30,5481.38,0.9996,0.52552,1.08128,0.97649,0.9712,0.99064,0.76699,0.96324,0.44568,1.0103,0.000352812,0.000352812,0.000352812
31,5670.79,0.96491,0.47623,1.06792,0.97471,0.96604,0.98981,0.76583,0.94271,0.45318,1.00671,0.000321875,0.000321875,0.000321875
32,5849.65,0.94614,0.46806,1.05213,0.95139,0.97247,0.98984,0.77356,0.94006,0.44345,1.00172,0.000290937,0.000290937,0.000290937
33,6035.7,0.9274,0.4547,1.05206,0.94492,0.97446,0.98984,0.76781,0.93143,0.43648,0.99382,0.00026,0.00026,0.00026
34,6216.23,0.8913,0.44052,1.03352,0.95913,0.97591,0.99194,0.77471,0.95641,0.43665,0.99925,0.000229063,0.000229063,0.000229063
35,6405.86,0.91334,0.43826,1.03006,0.96398,0.96492,0.99321,0.78597,0.91123,0.42081,0.98695,0.000198125,0.000198125,0.000198125
